<DATE>	<OPEN>	<HIGH>	<LOW>	<CLOSE>	<TICKVOL>	<VOL>	<SPREAD>
2019.03.26	94.87	95.61	94.46	95.51	108	538700	1
2019.03.27	93.40	94.86	92.30	92.33	342	891200	1
2019.03.28	92.35	95.31	91.95	94.97	459	385090	1
2019.03.29	96.13	96.32	95.33	95.82	653	301790	1
2019.04.01	97.00	97.15	96.21	96.51	358	700860	1
2019.04.02	97.01	97.11	95.19	95.77	425	702080	1
2019.04.03	96.72	96.82	94.50	94.96	131	136060	1
2019.04.04	95.44	96.80	94.75	96.80	133	182400	1
2019.04.05	97.18	97.93	96.60	97.50	500	758510	1
2019.04.08	97.50	98.02	97.24	97.85	185	367800	1
2019.04.09	97.07	97.17	95.89	96.71	809	239920	1
2019.04.10	98.41	98.41	96.10	96.43	269	382410	1
2019.04.11	96.53	96.53	94.60	95.13	287	383130	1
2019.04.12	94.05	95.11	92.95	93.25	249	257280	1
2019.04.15	94.01	94.17	93.18	93.48	572	2009030	1
2019.04.16	93.74	95.50	93.32	94.72	184	388650	1
2019.04.17	96.96	96.96	92.75	93.66	341	752230	1
2019.04.18	94.32	95.50	93.80	95.04	84	179640	1
2019.04.22	94.83	95.40	94.10	95.06	1543	654710	1
2019.04.23	95.25	96.68	95.25	96.40	93	67540	1
2019.04.24	96.87	96.87	94.60	95.52	110	48380	1
2019.04.25	95.52	96.98	94.70	96.98	292	629090	1
2019.04.26	96.98	96.98	96.05	96.71	146	178910	1
2019.04.29	97.00	97.50	96.50	96.66	80	69890	1
2019.04.30	96.77	97.15	96.21	96.83	79	67890	1
2019.05.02	96.65	96.65	95.80	96.01	96	233590	1
2019.05.03	96.01	96.78	96.01	96.40	128	257620	1
2019.05.06	96.22	96.22	94.92	95.48	1880	384130	1
2019.05.07	95.50	96.19	93.12	94.86	800	1959460	1
2019.05.08	94.87	96.78	94.87	96.07	177	639870	1
2019.05.09	96.00	96.00	94.39	95.28	108	176630	1
2019.05.10	95.28	95.28	93.64	94.73	86	91340	1
2019.05.13	93.37	93.37	91.97	92.19	199	139040	1
2019.05.14	92.99	92.99	92.06	92.55	96	256140	1
2019.05.15	92.39	92.39	90.71	92.03	236	1204010	1
2019.05.16	91.91	91.91	90.21	90.47	222	371130	1
2019.05.17	90.48	91.74	89.81	90.43	245	926150	1
2019.05.20	90.55	92.55	90.25	92.40	132	296700	1
2019.05.21	93.40	95.05	92.40	94.85	167	178030	1
2019.05.22	95.20	95.60	94.28	94.83	614	842350	1
2019.05.23	94.20	94.89	93.69	94.39	178	1145070	1
2019.05.24	95.18	95.25	94.00	94.10	109	342450	1
2019.05.27	94.91	95.80	94.82	95.25	114	234270	1
2019.05.28	95.25	97.06	95.20	96.78	470	176970	1
2019.05.29	96.99	97.40	96.30	97.04	171	191800	1
2019.05.30	97.04	98.37	96.90	97.95	401	188510	1
2019.05.31	97.99	98.45	97.21	97.51	116	150420	1
2019.06.03	97.61	98.10	96.89	97.51	497	399420	1
2019.06.04	97.54	98.01	97.00	97.78	2009	981350	1
