<DATE>	<OPEN>	<HIGH>	<LOW>	<CLOSE>	<TICKVOL>	<VOL>	<SPREAD>
2019.05.15	91.89	91.89	89.64	90.91	1345	250910	1
2019.05.16	90.61	90.61	89.23	89.40	894	88310	1
2019.05.17	89.35	89.65	87.77	88.40	2108	183960	1
2019.05.20	88.37	90.65	88.06	90.65	689	88490	1
2019.05.21	90.66	92.84	90.14	92.60	471	68920	1
2019.05.22	92.98	93.29	92.45	92.51	541	41490	1
2019.05.23	92.20	92.89	91.77	92.35	303	33410	1
2019.05.24	93.00	93.00	91.58	92.08	310	37320	1
2019.05.27	92.31	93.28	92.28	93.04	936	30080	1
2019.05.28	93.39	94.61	92.84	94.25	1071	27950	1
2019.05.29	94.10	95.08	94.10	94.90	530	44260	1
2019.05.30	95.00	96.25	94.79	96.10	809	46690	1
2019.05.31	95.80	96.89	95.55	96.80	719	31190	1
2019.06.03	96.89	97.37	96.17	96.90	469	33710	1
2019.06.04	97.02	99.00	96.73	97.35	4994	300770	1
2019.06.05	97.35	97.97	96.63	97.00	624	29420	1
2019.06.06	97.28	98.01	96.82	97.78	1540	216920	1
2019.06.07	98.50	99.23	98.21	98.93	597	131000	1
2019.06.10	98.88	99.15	98.40	99.07	750	261630	1
2019.06.11	99.37	99.64	98.53	99.44	1508	393550	1
2019.06.12	99.50	99.52	98.40	98.40	309	23900	1
2019.06.13	99.98	100.82	99.60	100.65	1539	489810	1
2019.06.14	100.65	101.17	99.89	100.85	687	141810	1
2019.06.17	100.13	100.90	100.13	100.70	1398	340850	1
2019.06.18	101.00	101.75	101.00	101.75	628	208730	1
2019.06.19	101.75	102.49	100.96	102.30	445	117670	1
2019.06.21	102.45	103.07	102.45	103.00	463	158210	1
2019.06.24	103.01	103.88	102.64	103.45	1131	261920	1
2019.06.25	103.44	103.44	101.21	101.25	739	217220	1
2019.06.26	102.10	102.47	101.06	101.55	4339	152380	1
2019.06.27	102.17	102.35	100.85	102.35	855	120780	1
2019.06.28	102.35	103.60	102.35	103.60	569	53740	1
2019.07.01	104.51	104.92	102.75	103.01	539	133900	1
2019.07.02	103.10	103.75	102.50	102.89	456	59050	1
2019.07.03	103.01	104.97	102.84	104.50	4145	139640	1
2019.07.04	104.52	106.26	104.52	106.13	1120	98680	1
2019.07.05	106.13	107.85	105.69	107.85	524	33300	1
2019.07.08	108.01	109.80	108.00	109.80	776	104410	1
2019.07.10	110.40	111.93	110.31	111.08	2836	381830	1
2019.07.11	111.65	111.65	110.10	110.85	19101	463190	1
2019.07.12	111.01	111.62	108.98	109.40	8754	154800	1
2019.07.15	109.51	111.55	108.54	108.72	4075	170610	1
2019.07.16	109.65	109.70	108.45	108.75	755	130570	1
2019.07.17	109.15	109.67	108.99	109.55	1344	121090	1
2019.07.18	109.68	110.14	109.25	110.00	1421	104250	1
2019.07.19	110.00	110.13	108.65	109.10	292	36580	1
2019.07.22	110.00	110.00	108.25	108.80	593	62210	1
2019.07.23	109.99	109.99	108.15	108.50	2423	67130	1
2019.07.24	108.51	109.90	108.00	108.45	1422	91410	1
2019.07.25	109.00	109.28	107.11	107.50	410	51110	1
2019.07.26	108.20	109.29	107.68	108.70	2005	341380	1
2019.07.29	108.71	109.69	108.46	109.60	391	172240	1
2019.07.30	109.40	110.74	108.98	110.74	844	427840	1
2019.07.31	111.41	111.64	109.61	110.25	2673	662450	1
2019.08.01	111.28	113.00	111.20	112.10	22904	1633300	1
2019.08.02	112.11	113.91	110.90	111.85	3231	236000	1
2019.08.05	110.00	110.20	109.04	109.60	2484	507850	1
2019.08.06	110.88	112.00	109.23	112.00	1691	172390	1
2019.08.07	111.33	111.94	110.10	111.70	664	188310	1
2019.08.08	112.50	114.24	112.50	114.24	845	529130	1
2019.08.09	114.20	115.85	114.19	115.85	2071	637030	1
2019.08.12	115.38	116.15	113.20	113.65	2665	331700	1
2019.08.13	113.95	115.15	112.73	114.50	1950	343750	1
2019.08.14	113.99	114.38	111.06	111.45	3790	562810	1
2019.08.15	111.96	112.80	107.77	109.05	2465	573200	1
2019.08.16	110.05	110.50	108.10	109.25	37905	818160	1
2019.08.19	110.10	110.74	107.85	108.05	1342	575390	1
2019.08.20	108.07	108.63	106.01	108.35	11208	556020	1
2019.08.21	109.99	110.95	108.99	110.95	11281	201230	1
