<DATE>	<OPEN>	<HIGH>	<LOW>	<CLOSE>	<TICKVOL>	<VOL>	<SPREAD>
2019.05.31	79.13	79.51	79.13	79.29	6	630	1
2019.06.03	79.80	79.80	79.41	79.41	6	2290	1
2019.06.04	80.00	80.16	79.50	80.16	13	870	1
2019.06.05	79.88	79.88	79.88	79.88	1	10	1
2019.06.06	80.38	80.38	80.38	80.38	1	600	1
2019.06.07	80.47	80.59	80.40	80.40	13	1480	1
2019.06.10	80.40	80.40	80.08	80.08	2	1530	1
2019.06.11	79.67	79.93	79.67	79.93	8	450	1
2019.06.12	79.76	79.76	79.33	79.33	3	2720	1
2019.06.13	79.70	79.70	79.56	79.56	15	2610	1
2019.06.14	79.15	79.15	78.80	78.84	6	1280	1
2019.06.17	79.10	79.10	79.10	79.10	1	50	1
2019.06.18	79.60	79.94	79.60	79.94	3	3240	1
2019.06.19	80.00	80.49	79.84	80.49	16	1000	1
2019.06.21	81.01	81.48	81.01	81.21	5	2180	1
2019.06.24	81.21	81.86	81.21	81.69	4	1330	1
2019.06.25	81.07	81.07	81.07	81.07	1	290	1
2019.06.26	80.77	80.79	80.60	80.60	4	100	1
2019.06.27	79.00	81.43	79.00	81.21	3	140	1
2019.06.28	81.33	81.86	81.33	81.80	5	700	1
2019.07.01	82.00	82.00	81.38	81.38	7	140	1
2019.07.02	81.66	81.66	81.16	81.16	20	1150	1
2019.07.03	81.02	81.02	81.02	81.02	8	370	1
2019.07.04	83.00	83.42	83.00	83.42	5	600	1
2019.07.05	82.89	83.50	82.88	83.50	5	330	1
2019.07.08	84.00	84.65	84.00	84.65	2	280	1
2019.07.10	86.01	86.01	85.48	85.66	23	5890	1
2019.07.11	85.55	85.55	85.55	85.55	2	1100	1
2019.07.12	85.52	85.52	84.92	84.92	7	6090	1
2019.07.15	84.30	84.31	84.30	84.31	2	3500	1
2019.07.16	84.30	84.35	83.75	84.15	15	2140	1
2019.07.17	84.35	84.35	84.35	84.35	1	50	1
2019.07.18	84.36	84.52	84.36	84.52	6	160	1
2019.07.19	84.52	84.52	83.93	83.93	4	3050	1
2019.07.22	83.93	84.30	83.87	83.91	9	3150	1
2019.07.23	83.94	84.07	83.93	84.07	6	2830	1
2019.07.24	83.99	84.18	83.99	84.14	3	130	1
2019.07.25	83.14	83.14	83.04	83.04	3	580	1
2019.07.26	83.64	83.64	83.64	83.64	1	10	1
2019.07.29	83.11	83.11	83.11	83.11	2	30	1
2019.07.30	83.18	83.56	83.18	83.51	6	800	1
2019.07.31	83.50	83.50	83.19	83.27	6	400	1
2019.08.01	84.30	84.53	84.02	84.02	3	70	1
2019.08.02	83.71	83.71	83.48	83.57	4	100	1
2019.08.05	82.95	82.95	82.39	82.39	3	220	1
2019.08.06	83.38	83.50	83.38	83.42	3	110	1
2019.08.07	83.13	84.37	83.13	84.20	12	2990	1
2019.08.08	83.00	85.29	83.00	84.86	37	4650	1
2019.08.09	84.25	84.70	84.25	84.38	6	870	1
2019.08.12	82.70	83.96	82.70	83.96	5	280	1
2019.08.13	83.42	84.99	83.42	84.60	8	5130	1
2019.08.14	83.17	83.17	82.07	82.07	8	4110	1
2019.08.15	81.68	81.69	80.61	80.65	4	190	1
2019.08.16	81.22	81.32	80.65	80.65	4	1020	1
2019.08.19	81.90	83.00	80.65	80.85	13	7480	1
2019.08.20	80.46	80.88	80.16	80.88	7	5130	1
2019.08.21	82.70	82.70	81.63	81.87	14	15250	1
2019.08.22	81.89	81.89	81.24	81.24	5	5090	1
2019.08.23	82.99	82.99	79.19	79.50	19	7490	1
2019.08.26	78.86	79.70	77.65	77.74	28	7190	1
2019.08.27	78.46	78.86	77.54	78.70	17	7320	1
2019.08.28	79.10	79.10	79.10	79.10	3	30	1
2019.08.29	79.55	80.99	79.55	79.71	12	7090	1
2019.08.30	78.25	81.85	78.25	81.76	12	8650	1
2019.09.02	82.73	82.73	82.20	82.20	7	3450	1
2019.09.03	83.00	83.00	79.40	81.50	21	9410	1
2019.09.04	81.36	82.09	80.00	80.00	5	2910	1
2019.09.05	80.00	84.25	80.00	84.25	18	8550	1
2019.09.06	81.97	84.30	81.97	84.30	15	10770	1
2019.09.09	84.21	84.21	81.39	81.54	22	12040	1
2019.09.10	80.98	83.05	80.98	81.20	25	7350	1
2019.09.11	82.50	84.70	82.50	82.66	15	8750	1
2019.09.12	83.42	83.68	81.80	83.65	10	6130	1
2019.09.13	83.56	84.58	82.46	82.65	24	19040	1
2019.09.16	83.01	84.29	81.99	82.40	29	16270	1
2019.09.17	82.40	85.20	82.40	83.36	35	13480	1
2019.09.18	83.50	85.90	83.50	84.00	21	18010	1
2019.09.19	82.99	86.38	82.99	84.45	27	16680	1
2019.09.20	84.20	85.95	83.74	84.02	15	10360	1
2019.09.23	82.50	85.86	82.50	83.90	37	13930	1
2019.09.24	85.61	85.61	83.40	85.41	23	22020	1
2019.09.25	86.90	86.90	82.50	83.00	30	12150	1
2019.09.26	83.48	85.35	83.06	83.40	14	5540	1
2019.09.27	83.50	83.50	82.94	83.09	5	170	1
2019.09.30	83.83	83.83	83.83	83.83	1	10	1
2019.10.01	83.88	83.88	82.90	82.90	4	2250	1
