<DATE>	<OPEN>	<HIGH>	<LOW>	<CLOSE>	<TICKVOL>	<VOL>	<SPREAD>
2019.02.27	94.12	94.32	93.45	93.84	11593	1952730	1
2019.02.28	93.90	94.04	91.85	91.85	24285	5550710	1
2019.03.01	92.40	92.57	91.00	91.08	23930	4915940	1
2019.03.06	91.58	91.68	90.58	90.76	13834	2721700	1
2019.03.07	91.05	91.25	90.36	91.05	29903	4568960	1
2019.03.08	90.58	92.10	89.94	91.85	38645	4265280	1
2019.03.11	92.02	94.55	92.02	94.55	28033	5859500	1
2019.03.12	94.75	94.75	93.79	94.40	15738	3715640	1
2019.03.13	94.25	95.80	93.91	95.31	17315	3291150	1
2019.03.14	95.49	95.51	94.27	94.95	22556	4123000	1
2019.03.15	95.04	95.88	94.97	95.53	26104	3981260	1
2019.03.18	95.78	96.51	95.59	96.38	17532	3708260	1
2019.03.19	96.49	96.86	95.81	96.06	16973	3608920	1
2019.03.20	95.95	96.20	94.35	94.35	26933	5568840	1
2019.03.21	94.31	94.51	92.02	93.01	27868	7555810	1
2019.03.22	91.70	92.03	90.02	90.25	38096	8327570	1
2019.03.25	89.97	91.04	89.68	90.35	29581	5493440	1
2019.03.26	91.01	91.93	90.58	91.66	16155	3682950	1
2019.03.27	90.85	90.85	88.10	88.10	36587	7435440	1
2019.03.28	88.73	91.51	88.23	91.02	32378	7048680	1
2019.03.29	92.13	92.48	91.44	91.81	19952	4560410	1
2019.04.01	92.92	94.00	92.31	92.35	9730	2571020	1
2019.04.02	92.90	93.25	91.32	91.83	28837	2509880	1
2019.04.03	92.74	93.00	90.72	91.16	14476	2622960	1
2019.04.04	91.50	92.99	90.96	92.87	13279	4166100	1
2019.04.05	93.10	94.00	92.69	93.56	36494	4907720	1
2019.04.08	93.63	94.15	93.25	93.78	15420	3201110	1
2019.04.09	93.45	93.48	92.04	92.70	17074	3073330	1
2019.04.10	93.20	93.47	92.20	92.49	15539	3987500	1
2019.04.11	92.48	92.48	90.75	91.38	12547	3551360	1
2019.04.12	90.33	91.39	89.20	89.51	31110	5979490	1
2019.04.15	89.94	90.46	89.35	89.81	30550	5289580	1
2019.04.16	89.80	91.67	89.52	91.00	28954	3697530	1
2019.04.17	91.25	91.64	88.94	90.00	23222	4989980	1
2019.04.18	90.40	91.81	90.01	91.16	24404	3583690	1
2019.04.22	91.00	91.63	90.31	91.20	23308	4705250	1
2019.04.23	91.60	92.88	91.60	92.37	34329	4173940	1
2019.04.24	92.68	92.68	90.73	91.60	36072	4950530	1
2019.04.25	91.50	93.00	90.77	92.90	21575	4130300	1
2019.04.26	92.80	93.05	92.15	92.63	23504	3333290	1
2019.04.29	92.96	93.66	92.55	92.72	12499	2609020	1
2019.04.30	92.87	93.26	92.18	92.88	30712	4047930	1
2019.05.02	92.19	92.50	91.85	92.16	19439	5342890	1
2019.05.03	92.39	92.90	92.35	92.60	16015	3125500	1
2019.05.06	91.49	91.65	91.11	91.61	22396	2161810	1
2019.05.07	91.10	91.10	89.35	90.98	47444	7240150	1
2019.05.08	91.30	92.85	91.30	92.11	28950	8210830	1
2019.05.09	91.59	91.75	90.50	91.37	26163	6550810	1
2019.05.10	91.33	91.45	89.85	90.80	29642	5778000	1
2019.05.13	89.29	89.57	88.25	88.31	28112	5917070	1
2019.05.14	90.00	90.07	88.24	88.76	30318	4370970	1
2019.05.15	87.84	88.43	87.00	87.87	19538	5413870	1
2019.05.16	87.61	87.96	86.51	86.56	29308	5774360	1
2019.05.17	86.51	88.07	86.12	86.74	43242	7489250	1
2019.05.20	86.77	88.83	86.56	88.83	17844	4908950	1
2019.05.21	89.20	91.19	88.63	91.19	31136	6582190	1
2019.05.22	92.00	92.00	90.49	90.96	28773	5976970	1
2019.05.23	90.40	91.15	89.88	90.43	12525	3612770	1
2019.05.24	91.06	91.50	90.12	90.25	18429	3423470	1
2019.05.27	90.95	92.00	90.91	91.50	18291	2618760	1
2019.05.28	91.78	93.10	91.29	92.85	52088	4719400	1
2019.05.29	92.43	93.49	92.22	93.06	50738	5373430	1
2019.05.30	93.07	94.40	92.81	93.96	21806	3634050	1
2019.05.31	93.65	94.45	93.25	93.59	43243	5129520	1
2019.06.03	94.01	94.22	92.89	93.48	32151	3878900	1
2019.06.04	94.01	94.12	93.06	93.80	41574	4426410	1
2019.06.05	94.14	94.14	92.20	92.64	37986	3568370	1
2019.06.06	93.37	93.93	92.64	93.69	23289	4547740	1
2019.06.07	94.02	94.78	93.64	94.22	29011	3326560	1
2019.06.10	93.85	94.30	93.25	93.85	12221	2693110	1
2019.06.11	94.45	95.44	94.30	95.42	23160	5078590	1
2019.06.12	95.30	95.66	94.25	94.66	20523	3780420	1
2019.06.13	95.06	95.77	94.94	95.14	22225	5022060	1
2019.06.14	95.09	95.38	94.00	94.51	28240	3777540	1
2019.06.17	94.24	94.85	94.08	94.25	23086	4085940	1
2019.06.18	95.45	95.80	94.86	95.77	48663	3726580	1
2019.06.19	95.77	96.72	95.34	96.63	41947	5060030	1
2019.06.21	97.32	98.39	97.32	98.22	61067	4936490	1
2019.06.24	98.31	98.89	97.85	98.31	26948	3636240	1
2019.06.25	98.16	98.25	96.22	96.36	35573	4868660	1
2019.06.26	96.96	97.44	96.48	96.85	39796	4274650	1
2019.06.27	96.45	97.35	95.73	97.07	35516	4567370	1
2019.06.28	97.62	97.88	97.11	97.11	39135	3172580	1
2019.07.01	98.60	98.71	97.43	97.45	24061	3408390	1
2019.07.02	97.70	97.90	96.23	96.77	40767	6646900	1
2019.07.03	96.62	98.48	96.51	98.32	68196	5507420	1
2019.07.04	99.38	100.20	99.37	100.00	35139	4635970	1
2019.07.05	99.49	100.41	98.90	100.27	30233	4040790	1
2019.07.08	100.48	100.91	100.20	100.56	18689	1696060	1
2019.07.10	101.80	102.80	101.56	101.96	21500	3795230	1
2019.07.11	101.96	101.96	101.00	101.21	28116	3255790	1
2019.07.12	101.65	101.80	100.05	100.05	26292	3267220	1
2019.07.15	100.80	100.80	99.70	100.04	19368	2894550	1
2019.07.16	100.37	100.62	99.53	99.90	57671	4863910	1
2019.07.17	100.16	100.63	99.91	100.01	35518	3360650	1
2019.07.18	100.21	100.95	100.12	100.70	15902	2699210	1
2019.07.19	100.65	100.79	99.56	99.60	47446	2632590	1
2019.07.22	100.00	100.48	99.75	100.00	35404	1711710	1
2019.07.23	100.41	100.59	99.68	100.10	21751	3282880	1
2019.07.24	100.12	100.77	100.07	100.39	39672	4363000	1
2019.07.25	100.35	100.65	98.60	98.80	32151	7070060	1
2019.07.26	99.38	99.55	98.45	99.15	18231	3616660	1
2019.07.29	99.15	99.56	98.72	99.56	12774	2292520	1
2019.07.30	99.43	99.79	98.82	99.12	65913	4129760	1
2019.07.31	99.41	99.50	97.22	97.98	41206	5662870	1
2019.08.01	98.58	100.25	98.12	98.43	44918	6346400	1
2019.08.02	98.51	99.41	97.93	98.78	40614	4350500	1
2019.08.05	97.10	97.36	95.93	96.47	95962	9810050	1
2019.08.06	97.30	98.45	97.30	98.44	47818	4316730	1
2019.08.07	97.15	99.05	96.71	99.05	38737	5353270	1
2019.08.08	99.55	100.50	99.32	100.36	55446	8405500	1
2019.08.09	100.00	101.05	99.71	100.24	22329	3063290	1
2019.08.12	99.00	99.00	97.85	98.16	50630	6750230	1
2019.08.13	98.13	100.00	97.65	99.52	56120	5021090	1
2019.08.14	98.49	98.49	96.30	96.65	61673	9200210	1
2019.08.15	97.22	97.24	94.51	95.38	65878	9932420	1
2019.08.16	96.72	96.98	95.41	96.15	68034	6125350	1
2019.08.19	96.72	97.26	95.23	95.77	27932	4908840	1
2019.08.20	95.83	96.04	94.24	95.54	44482	5675540	1
2019.08.21	96.37	97.64	95.80	97.53	45684	4271060	1
2019.08.22	97.55	97.85	96.35	96.35	65824	4478200	1
